additionalDescription,adjustableWaist,availability,brand,brandDescription,brandId,category,categoryId,categoryTags,charsAccent,charsBraceletStyle,charsCareInstructions,charsCenterBackIn,charsChestIn,charsDepthIn,charsDressStyle,charsEarringStyle,charsFeatures,charsFit,charsGeneral,charsHeelHeightIn,charsHeightIn,charsInseamIn,charsJacketStyle,charsJeanWash,charsLengthIn,charsMaterial,charsNecklaceStyle,charsNeckline,charsPantCut,charsPantStyle,charsPattern,charsPieceCount,charsRingStyle,charsRiseIn,charsShoeStyle,charsShoeWidth,charsShortsInseamIn,charsSkirtDressLengthIn,charsSkirtDressName,charsSkirtDressStyle,charsSkirtStyle,charsSleeveLength,charsStretch,charsTopAttribute,charsWaist,charsWaistIn,clearance,colorNames,condition,conditionDetail,conditionOverrides,departmentTags,favoriteCount,favorites,finalSale,hasConditionOverrides,hasInappropriateContent,id,itemNumber,materials,merchandisingDepartment,msrp,newWithTags,originalPrice,outOfRegionPrice,partnerDescription,photoIds,preorderable,preorderedBy,price,promotion,qualityCode,sale,savings,searchTags,sellthroughScore,similarBrands,sizeEquivalents,sizeLabel,sizes,sizingId,state,styleTags,supplierId,sustainabilityImpactV2,tags,thredupGender,title,warehouseId,__typename
,False,InStock,Everlane,,23552,Jeans,356,,"['frayed edges', 'fringe & frayed accents', 'whiskering']",[],,,,,,[],[],"['standard', 'boyfriend']",['boho'],,,26.25,,['medium wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],13,[],,,,,[],,,[],[],high rise,32,False,['Blue'],Q1_only,,[],['women'],0,{},False,False,False,140606357,143610137,"['98% Organic Cotton', '2% Elastane']",women,83,False,30.99,52.99,,"['474788565', '474788619']",False,,52.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '34.44', '__typename': 'ItemPromotion'}",Q1,False,0.3856626506024097,"['women-jeans', 'women-jeans-straight-leg', 'women-jeans-boyfriend', 'women-jeans-high-waisted']",0.858854,"[{'department': 'women', 'id': 1073, 'name': 'Sorel', '__typename': 'Brand'}, {'department': 'women', 'id': 1780, 'name': 'Anthropologie', '__typename': 'Brand'}, {'department': 'women', 'id': 2135, 'name': 'Keepsake', '__typename': 'Brand'}, {'department': 'women', 'id': 8552, 'name': 'Chaser', '__typename': 'Brand'}]",,31 Waist,['31 waist'],816,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Everlane Jeans,16,Item
,False,InStock,Madewell,"Once known as J.Crew’s little sister, Madewell is now fashion force on its own. Get obsessed with their figure-flattering denim, cozy pullovers, boho festival faves, ankle booties, and standout accessories. Affordable, on-trend, and always in style, Madewell finds are always up to 90% off at thredUP.",8687,Jeans,356,,"['whiskering', 'button']",[],,,,,,[],[],"['standard', 'boyfriend']",['boho'],,,31,,['dark wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],8.75,[],,,,,[],,,[],[],mid-reg rise,35.5,False,['Blue'],Q1_only,,[],"['juniors', 'women']",0,{},True,False,False,140606316,143610096,"['98% Cotton', '2% Elastane']",women,139,False,36.99,48.99,,"['469066500', '469066520']",False,,48.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '31.84', '__typename': 'ItemPromotion'}",Q1,False,0.6619424460431655,"['women-jeans', 'women-jeans-boyfriend', 'women-jeans-bootcut']",0.167903,"[{'department': 'women', 'id': 1780, 'name': 'Anthropologie', '__typename': 'Brand'}, {'department': 'women', 'id': 6991, 'name': 'Moth', '__typename': 'Brand'}, {'department': 'women', 'id': 7508, 'name': 'Tiny ', '__typename': 'Brand'}, {'department': 'women', 'id': 8771, 'name': 'Scotch & Soda', '__typename': 'Brand'}]",,29 Waist,['29 waist'],799,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Madewell Jeans,16,Item
,False,InStock,White House Black Market,"White House Black Market is a modern clothing brand that works primarily within a black and white color palette. Create effortless outfits with easy-to-match separates. Velvet blazers, sleek pencil skirts, lace tops, and destructed denim. White House Black Market also offers petite and plus-size fashion.",9635,Jeans,356,,"['ripped', 'distressed']",[],,,,,,[],[],"['standard', 'boyfriend']",,,,30.75,,"['dark wash', 'distressed']",,denim,[],,boyfriend,['boyfriend'],['solid'],,[],6.75,[],,,,,[],,,[],[],low rise,32,False,['Blue'],Q1_only,,[],['women'],0,{},False,False,False,140606290,143610070,"['73% Cotton', '14% Rayon', '11% Polyester', '2% Spandex']",women,95,False,22.99,21.99,,"['449485060', '449485170']",False,,21.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '14.29', '__typename': 'ItemPromotion'}",Q1,False,0.789578947368421,"['women-jeans', 'women-jeans-boyfriend', 'women-jeans-distressed', 'women-jeans-ripped']",0.0757695,"[{'department': 'women', 'id': 66, 'name': 'Calvin Klein', '__typename': 'Brand'}, {'department': 'women', 'id': 1889, 'name': 'Bisou Bisou', '__typename': 'Brand'}, {'department': 'women', 'id': 7027, 'name': 'Adrienne Vittadini', '__typename': 'Brand'}, {'department': 'women', 'id': 8489, 'name': 'Armani Exchange', '__typename': 'Brand'}]",,Size 0,['0'],756,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,White House Black Market Jeans,16,Item
,False,InStock,Style&Co,"Style&Co is a fashion line designed exclusively for Macy's, including pieces designed for the modern woman. From plus size to petite, the line includes something for every woman. Shop the Style&Co line to find the perfect addition to your wardrobe for the office or casual attire for a night out. The lineup also includes footwear and accessories.",367,Jeans,356,,['whiskering'],[],,,,,,[],[],"['standard', 'boyfriend']",['boho'],,,26.5,,['dark wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],8.75,[],,,,,[],,,[],[],mid-reg rise,34,False,['Blue'],Q1_only,,[],['women'],0,{},False,False,False,140606232,143610012,"['77% Cotton', '21% Polyester', '2% Spandex']",women,51,False,20.99,21.99,,"['449136250', '449136328']",False,,21.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '14.29', '__typename': 'ItemPromotion'}",Q1,False,0.6080392156862745,"['women-jeans', 'women-jeans-boyfriend', 'women-jeans-bootcut']",0.736405,"[{'department': 'women', 'id': 70, 'name': 'Charter Club', '__typename': 'Brand'}, {'department': 'women', 'id': 186, 'name': 'Karen Scott', '__typename': 'Brand'}, {'department': 'women', 'id': 707, 'name': 'Covington', '__typename': 'Brand'}, {'department': 'women', 'id': 811, 'name': 'American Living', '__typename': 'Brand'}]",,Size 12,['12'],822,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Style&Co Jeans,16,Item
,False,InStock,Kut from the Kloth,"Fall head-over-heels for Kut from the Kloth denim and khakis at thredUP. This world-class designer's selection of jeans, tops, and dresses offer that perfect fit for every shape. When it comes to essentials such as denim, Kut from the Kloth is life-changing. These jeans are so comfortable, they'll be your go-to pants. Go on a treasure hunt for your favorite jeans at thredUP and save up to 90% off retail prices.",8662,Jeans,356,,['whiskering'],[],,,,,,[],[],"['standard', 'boyfriend']",['boho'],,,22.75,,['dark wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],11.25,[],,,,,[],,,[],[],high rise,36.5,False,['Blue'],Q2_only,minor wear on fabric,[],['women'],0,{},True,False,False,140606216,143609996,"['1% Spandex', '99% Cotton']",women,94,False,24.99,29.99,,"['467245593', '467245634']",False,,29.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '19.49', '__typename': 'ItemPromotion'}",Q2,False,0.7022340425531914,"['women-jeans', 'women-jeans-capri', 'women-jeans-straight-leg', 'women-jeans-boyfriend', 'women-jeans-high-waisted']",0.962987,"[{'department': 'women', 'id': 1052, 'name': 'Nordstrom', '__typename': 'Brand'}, {'department': 'women', 'id': 2087, 'name': 'Hale Bob', '__typename': 'Brand'}, {'department': 'women', 'id': 4535, 'name': 'BB Dakota', '__typename': 'Brand'}, {'department': 'women', 'id': 6135, 'name': 'Dolce Vita', '__typename': 'Brand'}]",,Size 12,['12'],822,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Kut From The Kloth Jeans,16,Item
,False,InStock,Levi's,"Levi's has been defining style for decades. Their iconic denim jeans have been worn by generations, and putting on a pair will make you a part of this brand's rich history. Levi's clothes are the epitome of classic American style. By combining effortlessly cool looks with quality materials, Levi's has defied and defined fashion again and again.",210,Jeans,356,,['button'],[],,,,,,[],[],"['standard', 'boyfriend']",,,,25.75,,"['colored', 'dark wash']",,denim,[],,boyfriend,['boyfriend'],['solid'],,[],13,[],,,,,[],,,[],[],high rise,32.5,False,"['Colored', 'Yellow']",Q1_NWT,,[],"['juniors', 'women']",0,{},True,False,False,140606190,143609970,['100% Cotton'],women,64,True,16.99,24.99,,"['467116137', '467116160']",False,,24.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '16.24', '__typename': 'ItemPromotion'}",Q1,False,0.6407812500000001,"['women-jeans', 'women-jeans-capri', 'women-jeans-straight-leg', 'women-jeans-boyfriend', 'women-jeans-high-waisted', 'women-jeans-colored']",0.9727,"[{'department': 'women', 'id': 81, 'name': 'Converse', '__typename': 'Brand'}, {'department': 'juniors', 'id': 152, 'name': 'Hurley', '__typename': 'Brand'}, {'department': 'women', 'id': 385, 'name': 'Timberland', '__typename': 'Brand'}, {'department': 'women', 'id': 400, 'name': 'Vigoss', '__typename': 'Brand'}]",,31 Waist,['31 waist'],816,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Levi's Jeans,16,Item
,False,InStock,Nine West,"Nine West is known for their fashion-forward footwear that looks as if it just stepped off the runway and into your closet. Get a pair of heels for those nights out, or pick up a pair of booties with a chunky heel for the commute into work. Slip into some sneakers for those days you need to run around in comfort but don't want to sacrifice style.",2248,Jeans,356,,['whiskering'],[],,,,,,[],[],"['standard', 'boyfriend']",['boho'],,,23.25,,['dark wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],10,[],,,,,[],,,[],[],mid-reg rise,34.5,False,['Blue'],Q1_only,,[],['women'],0,{},True,False,False,140606106,143609886,"['73% Cotton', '25% Polyester', '2% Spandex']",women,102,False,26.99,32.99,,"['458196715', '458196752']",False,,32.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '21.44', '__typename': 'ItemPromotion'}",Q1,False,0.6961764705882353,"['women-jeans', 'women-jeans-capri', 'women-jeans-straight-leg', 'women-jeans-boyfriend', 'women-jeans-bootcut']",0.665405,"[{'department': 'women', 'id': 224, 'name': 'London Fog', '__typename': 'Brand'}, {'department': 'women', 'id': 811, 'name': 'American Living', '__typename': 'Brand'}, {'department': 'women', 'id': 1889, 'name': 'Bisou Bisou', '__typename': 'Brand'}, {'department': 'women', 'id': 2420, 'name': 'Harve Benard', '__typename': 'Brand'}]",,Size 12,['12'],822,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Nine West Jeans,16,Item
,False,InStock,J.Jill,"Whether you’re shopping for workwear or casual clothes, you’ll want to make J.jill a wardrobe staple. With button-down shirts, beautiful blouses, gorgeous dresses, and casual pants to choose from, this brand offers classic style and contemporary cuts. At thredUP, we love that J.jill makes it a breeze to transition from the office to the weekend.",1451,Jeans,356,,['whiskering'],[],,,,,,[],[],"['standard', 'boyfriend']",['boho'],,,27.25,,['dark wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],10,[],,,,,[],,,[],[],mid-reg rise,33.5,False,['Blue'],Q1_only,,[],['women'],0,{},True,False,False,140605641,143609421,"['62% Cotton', '28% Lyocell', '8% Polyester', '2% Lycra']",women,85,False,14.99,25.99,,"['468305187', '468305273']",False,,25.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '16.89', '__typename': 'ItemPromotion'}",Q1,False,0.7177647058823529,"['women-jeans', 'women-jeans-straight-leg', 'women-jeans-boyfriend']",0.896784,"[{'department': 'women', 'id': 812, 'name': 'Fresh Produce', '__typename': 'Brand'}, {'department': 'women', 'id': 1838, 'name': 'Woolrich', '__typename': 'Brand'}, {'department': 'women', 'id': 2321, 'name': 'Soma', '__typename': 'Brand'}, {'department': 'women', 'id': 2420, 'name': 'Harve Benard', '__typename': 'Brand'}]",,Size 12,['12'],822,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,J.Jill Jeans,16,Item
,False,InStock,Zara Basic,"From classic blazers to cocktail dresses, Zara Basics are timeless treasures that are essential in every closet. Simple and cozy, they offer sustainable styles for everyone. Beloved by fashion-forward women who want quality, Zara Basics by Spanish designer Amancio Ortega won't age from season to season. Get your pre-loved Zara Basics at thredUP.",11698,Jeans,356,,"['ripped', 'distressed']",[],,,,,,[],[],"['standard', 'boyfriend']",,,,28,,"['distressed', 'medium wash']",,denim,[],,boyfriend,['boyfriend'],['solid'],,[],9.25,[],,,,,[],,,[],[],mid-reg rise,30,False,['Blue'],Q1_only,,[],['women'],0,{},False,False,False,140605145,143608925,['100% Cotton'],women,51,False,20.99,18.99,,"['444787617', '444787627']",False,,18.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '12.34', '__typename': 'ItemPromotion'}",Q1,False,0.6668627450980392,"['women-jeans', 'women-jeans-straight-leg', 'women-jeans-boyfriend', 'women-jeans-distressed', 'women-jeans-ripped']",0.62752,"[{'department': 'women', 'id': 1853, 'name': 'United Colors Of Benetton', '__typename': 'Brand'}, {'department': 'women', 'id': 3570, 'name': 'JACK', '__typename': 'Brand'}, {'department': 'women', 'id': 8489, 'name': 'Armani Exchange', '__typename': 'Brand'}, {'department': 'women', 'id': 8581, 'name': 'Ecote', '__typename': 'Brand'}]",,Size 2,['2'],774,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Zara Basic Jeans,16,Item
,False,InStock,Levi's,"Levi's has been defining style for decades. Their iconic denim jeans have been worn by generations, and putting on a pair will make you a part of this brand's rich history. Levi's clothes are the epitome of classic American style. By combining effortlessly cool looks with quality materials, Levi's has defied and defined fashion again and again.",210,Jeans,356,,[],[],,,,,,[],[],"['standard', 'boyfriend']",,,,28,,['dark wash'],,denim,[],,boyfriend,['boyfriend'],['solid'],,[],9,[],,,,,[],,,[],[],mid-reg rise,34.5,False,['Blue'],Q1_only,,[],"['juniors', 'women']",0,{},True,False,False,140605114,143608894,"['99% Cotton', '1% Elastane']",women,64,False,16.99,20.99,,"['469894880', '469894965']",False,,20.99,"{'discountPercent': 35, 'isDynamicDiscount': None, 'promofiedPrice': '13.64', '__typename': 'ItemPromotion'}",Q1,False,0.7032812500000001,"['women-jeans', 'women-jeans-straight-leg', 'women-jeans-boyfriend']",0.97603,"[{'department': 'women', 'id': 81, 'name': 'Converse', '__typename': 'Brand'}, {'department': 'juniors', 'id': 152, 'name': 'Hurley', '__typename': 'Brand'}, {'department': 'women', 'id': 385, 'name': 'Timberland', '__typename': 'Brand'}, {'department': 'women', 'id': 400, 'name': 'Vigoss', '__typename': 'Brand'}]",,Size 12,['12'],822,listed,,1,"{'category': 'jeans', 'glassesOfWater': 637.48, 'hoursOfLighting': 142.2, 'isPlural': True, 'milesByCar': 0.66, '__typename': 'SustainabilityImpactV2'}",,women,Levi's Jeans,16,Item
